,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness,popularity
"Tito ""El Bambino""",0.7594000000000001,0.7251000000000001,0.7089000000000001,104.811,0.1376,2.688e-06,0.07873,0.19449999999999998,68
藤川千愛,0.4880999999999999,0.8166,0.406,112.72,0.046247500000000004,6.06e-07,0.0482,0.18208,40
Juliàn,0.5485,0.2918,0.13702,90.061,0.8427999999999999,0.849,0.04451000000000001,0.15647000000000003,49
ヒプノシスマイク -D.R.B- (Bad Ass Temple),0.6171999999999999,0.8981000000000001,0.4753,107.3711,0.0829849,0.0,0.17798,0.15228,34
Villem,0.5814,0.8028000000000001,0.26101,134.45940000000002,0.014985000000000002,0.42177,0.053259999999999995,0.16614,29
DPR IAN,0.6715000000000001,0.6658,0.6638,128.812,0.22924700000000003,0.006176958,0.042249999999999996,0.15944,68
Machinedrum,0.5643,0.6695,0.3007,142.40119999999996,0.249616,0.456443291,0.08001,0.20531000000000002,46
Alamat,0.6847,0.7011999999999999,0.6024,109.44149999999999,0.14598,8.347000000000002e-06,0.05697,0.18482,43
Ofra Harnoy,0.33919,0.18619000000000002,0.28239000000000003,104.34040000000002,0.8583000000000001,0.4971327,0.04918999999999999,0.14936,18
GRAACE,0.5777999999999999,0.49879999999999997,0.31910000000000005,127.67439999999999,0.38661,0.001279339,0.07958000000000001,0.11169,41
Thievery Corporation,0.6643,0.6090000000000001,0.5530000000000002,109.86609999999999,0.21499000000000001,0.6936859999999999,0.04359999999999999,0.10400000000000001,61
Art Blakey,0.5259999999999999,0.43651,0.4574999999999999,103.0714,0.7426999999999999,0.23159239999999998,0.049019999999999994,0.15009,41
Wasthi,0.6263,0.5566000000000001,0.5359,99.83399999999999,0.5045300000000001,0.001448422,0.08210999999999999,0.21766000000000002,39
MDNS,0.5952,0.749,0.48233,125.829,0.042205661,0.12617999000000002,0.05081,0.21387000000000006,30
The Andrews Sisters,0.6465,0.3369,0.7948000000000001,151.11339999999998,0.7133,1.7378000000000002e-05,0.1946,0.19895,50
Vincent Boilard,0.23159999999999997,0.1109,0.11186,108.49549999999999,0.9681999999999998,0.8478999999999999,0.04404,0.12751,2
Start Of Something Good,0.3008,0.10429000000000002,0.04655,109.6641,0.8131999999999999,0.9062999999999999,0.03609,0.11200000000000002,33
The SubOceaners,0.16226,0.22275999999999999,0.10793100000000003,136.97719999999998,0.8897,0.8290000000000001,0.060660000000000006,0.11557999999999999,43
Chad Lawson,0.36730000000000007,0.020718999999999998,0.1572,104.7891,0.9881,0.9305999999999999,0.04244,0.09039,57
Scott Hamilton,0.4824,0.20024999999999998,0.26339999999999997,98.47420000000001,0.9088999999999998,0.452203,0.03942,0.22715000000000002,44
Orchestra del Maggio Musicale Fiorentino,0.2145,0.29251299999999997,0.1955,130.8684,0.9577000000000002,0.020084999999999995,0.05666,0.40266,48
Pietro Mascagni,0.15924999999999997,0.15841,0.07092999999999999,103.91900000000001,0.7859,0.8121609999999999,0.04311,0.25360000000000005,46
KONGOS,0.6529,0.72,0.5734,127.5931,0.15758,0.015933307,0.08792,0.19719,52
Rudy Royston,0.5171,0.29874999999999996,0.4563,103.21999999999998,0.8723000000000001,0.6751003680000001,0.04584,0.10525,31
Christine Perfect,0.5191,0.26280000000000003,0.5951,115.5968,0.6695,0.028091839999999996,0.036699999999999997,0.12138999999999997,24
Kim Waters,0.6879,0.6066,0.6192,112.48600000000002,0.28190000000000004,0.38386599999999993,0.03157,0.16677,42
Zaymm,0.7124,0.41559999999999997,0.4241,85.3083,0.4354,0.030793536,0.28258,0.15199,8
Le Tonnerre,0.21842999999999999,0.557,0.11238000000000001,92.42029999999998,0.10890740000000002,0.7317,0.08291,0.28177,36
Xllie!,0.6828999999999998,0.885,0.31,118.3933,0.03620589,0.76022,0.087,0.20196,58
Erika Vidrio,0.5826,0.3622000000000001,0.5644000000000001,119.7242,0.5759,0.0,0.04921999999999999,0.13763,32
The Church,0.4681,0.7014000000000001,0.4864,138.8777,0.018175900000000002,0.1639141,0.037329999999999995,0.19821999999999998,49
Robert Lippok,0.5169,0.43390000000000006,0.1496,109.9395,0.5663069999999999,0.8072999999999999,0.06146,0.21259999999999998,19
Spang Sisters,0.6239,0.39860000000000007,0.45840000000000003,110.0554,0.5920000000000001,0.30324511000000004,0.04582,0.1663,31
Bert Dockx,0.4345,0.24416000000000002,0.19571,118.81989999999999,0.7889,0.47458,0.04396,0.11551999999999998,15
Lo'fi Chield,0.7304999999999999,0.8870999999999999,0.4850999999999999,124.25420000000001,0.27924,0.67457,0.12649,0.33585999999999994,48
Arthur Rubinstein,0.3155,0.047409999999999994,0.07057,91.8337,0.9917,0.9116,0.039639999999999995,0.09623,48
Budapest Failoni Chamber Orchestra,0.34299999999999997,0.14873,0.30101,107.98690000000002,0.9477999999999998,0.5454270999999999,0.05726,0.25278,45
Jarhed,0.6893,0.16443000000000002,0.37316000000000005,106.50340000000001,0.6638999999999999,0.8023,0.09574999999999999,0.10891999999999999,37
Repiet,0.6641000000000001,0.6726,0.26555999999999996,129.6948,0.2118,0.25631589,0.07506,0.19892999999999997,50
The Dramatics,0.5582,0.5935,0.7256,130.7593,0.38270000000000004,0.006826422,0.12446000000000002,0.31582000000000005,48
Jeannie Purdue,0.4509,0.049695,0.12927,97.74699999999999,0.9936999999999999,0.9495999999999999,0.050359999999999995,0.11108,40
Pieter Schlosser,0.3008,0.43097000000000013,0.15464,111.2838,0.4845727,0.8691000000000001,0.047220000000000005,0.18848000000000004,41
Nick Morgan,0.6797,0.8748000000000001,0.5147999999999999,122.8087,0.015238199999999999,0.7408,0.038180000000000006,0.16246999999999998,40
Rusty Steve,0.5685,0.7259,0.25434,110.19109999999998,0.041824,0.20297990000000002,0.05577000000000001,0.16847,17
Phí Phương Anh,0.6345000000000001,0.6843,0.4744999999999999,104.25669999999998,0.44998999999999995,0.000742184,0.05264,0.2834,38
Hello Yello,0.6159000000000001,0.663,0.5019,110.77189999999999,0.13735499999999998,0.179421522,0.04702,0.16912,30
Dreams Ahead,0.4983999999999999,0.08761,0.12978,83.6265,0.9412999999999998,0.868,0.03949999999999999,0.10894999999999999,43
