name,id,genres
Iman.,4snOTeLIxOa9anlWC3k5cC,
MARIA HEIN,3XROpF1yIcXOcMjDkswghI,indie catala
Isobel Waller-Bridge,1Iy8JKDTXo8e9HmyTCaTOZ,soundtrack
Anis Fuleihan,5gHoKuc3ZL5JlXOXJnyP9E,
Band Of Skulls,4ddt8PPvmWrI9mJQy1VrIG,garage rock-garage rock revival-modern blues rock-punk blues-southampton indie
Vita Nova,73NuuIXGeBU7AyknDXY5A2,color noise-white noise
Lil Xan,3EXdLajEO02ziZ90P90bSW,cloud rap
svegliaginevra,0mNU2jWtQEYmhBjWtWTBBS,italian indie pop
Adriana Milou,1hdDs4wK0nVxEMPc1IXXRb,sleep
Udda Jnhale,61dB4bXX3NDinvPlTy0v2P,
Indira May,4PStVha6j7ZX2DNtWwIR24,
Josue La Promesa,3gLEl6eWiDqXmTSwwJnpkF,
Deana Carter,0aqrM7Fo3Ml66Kc5JAzmjt,country-country dawn-country road
Santiago Benavides,1kmI6wp97POUynJvBlxkuR,latin worship
Leah Blevins,1cpkiJukYGm0dr7Fm9HpNW,kentucky roots
The New Ukrainians,1PPoprpOnxs7cuhENYU5BK,
Francis Graden,2oImW6t3VIxRmM8DdwEH4w,
Saindhavi,6rEXjeIJ0wL6BFdo8CRcit,filmi-tamil pop
Sílvia Pérez Cruz,7qJXYbBDibZ1Zixi89aUnw,cantautor-new tribe
Cavego,5mF9jb0at58HIWigwZCuQx,norwegian house-norwegian pop
Nathan Hill Trio,4KDVrZS1ZTq8DvPeEZxbHz,
Maura Huffman,60HUetND2GEvv5sPhsdujy,
Cristalli Liquidi,2dJDv7A9P2jFivSij4v91D,italo disco
Damian Ukeje,1wfb72UB5sQSOOqiNQUjwl,
Alex Campos,6slyJwua5e5GuhuP82sTHR,latin christian-mariachi cristiano-reggaeton cristiano
Craig Armstrong,526q7RxT5KA1VGeQ5GMSHO,british soundtrack-orchestral soundtrack-soundtrack
Ashes To Amber,1VjLe0p8LUFKPbyKaQZAgu,
LION BABE,4VA3EAvncrTucjTmrvd4GE,alternative r&b-indie soul
Dyno,4O7AoU5Zyn9PODWpcckxHF,
Teza Sumendra,2fS9sWFJcWN8wVhYbCfdC7,indonesian pop
Lav,4yql3diaCYkv88Xrh7rwVl,
